epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,41.98,41.98,1189,nan,4.162137442368728,5.671073717948718,94.32892628205128,20.877403846153847,1.1682805605232716,3.687741234898567,4.923464249198635,3.9367799758911133,8.449999988079071,91.55000001192093,28.28,2.819070778787136,4.9817820088982385,5.647488310933113,-2.778926270130353,59.525516510009766,0.06631644846302215,0.18932819366455078,0.0002852561392733359,128.22482123986268,0.9986588592712696,0.01160985779372182,0.024123291259559636,nan,1.0
2,780,780,84.69,42.63,1171,nan,3.9010814177684296,8.950320512820513,91.04967948717949,29.102564102564102,2.684328518807888,6.114360690116882,6.265999390146671,3.8492136001586914,9.860000014305115,90.13999998569489,31.39,3.5471290349960327,6.651865936375774,6.312870979309082,-0.909679501484602,56.67764663696289,0.10419339899596478,0.007641315460205078,0.000125017187485099,238.6207974947416,0.9978912893014077,0.01673904374145063,-0.03813359294815619,nan,1.0
3,1170,1170,127.39,42.68,1170,nan,3.828431427784455,10.180288461538462,89.81971153846153,31.498397435897434,3.3656705170869827,7.245517522096634,6.8146189751151285,3.777594804763794,11.259999871253967,88.74000012874603,33.32,3.90690378844738,7.738575856490941,7.355848699808121,-1.0797114097155056,55.333045959472656,0.1356978902167345,0.003570079803466797,7.755158443376277e-05,344.1772502801357,0.9977324637082907,0.016951959012889307,-0.01194683018867381,nan,1.0
4,1560,1560,169.88,42.44,1176,nan,3.7841202173477564,11.045673076923077,88.95432692307692,33.34134615384615,3.8407132029533386,8.039380609989166,7.2049672443133135,3.751739740371704,11.699999868869781,88.30000013113022,34.19,3.739451989531517,8.231806843867552,7.960546761751175,-0.6543267919467048,54.49470138549805,0.16268145989899227,0.0019583702087402344,5.539216720098804e-05,442.5981764573317,0.9976391721994449,0.016951816164973176,0.037515524990438455,nan,1.0
5,1950,1950,212.9,42.97,1162,nan,3.7520268758138022,11.602564102564102,88.3974358974359,34.37900641025641,4.110177978873253,8.57081189751625,7.494858906437189,3.716817617416382,12.590000033378601,87.4099999666214,35.89,4.605620726943016,9.194233320295476,7.984378933906555,-0.9874359308144989,53.91151428222656,0.18398620933862175,0.0014600753784179688,4.27216303121081e-05,517.4786757249099,0.9975142183976295,0.017418119537163216,-0.054689724439479656,nan,1.0
6,2340,2340,257.85,44.93,1111,nan,3.726418910882412,11.852964743589743,88.14703525641026,35.14222756410256,4.134375229477882,8.874841779470444,7.7191128830115,3.6933655738830566,12.549999356269836,87.45000064373016,36.43,4.4188570231199265,9.093925195367357,8.13114270567894,-0.6970346126800937,53.467041015625,0.20845099858295468,0.0013027191162109375,3.458072502157366e-05,605.4884598952074,0.9974658042956621,0.017380588079287065,-0.010727770476136485,nan,1.0
7,2730,2730,301.5,43.6,1145,nan,3.707506659092047,12.291666666666666,87.70833333333333,35.61698717948718,4.360775649547577,9.249112010002136,7.930890824168157,3.6681461334228516,13.07000070810318,86.92999929189682,37.04,4.570997506380081,9.595484785037998,8.509521931409836,-0.7783340414365139,53.11015701293945,0.23154297148269495,0.0008220672607421875,2.8936534407639437e-05,686.6984229454628,0.9974561214447022,0.017192229235093417,0.013031069533690046,nan,1.0
8,3120,3120,345.95,44.4,1124,nan,3.6912930219601363,12.688301282051283,87.31169871794872,36.21394230769231,4.606708139181137,9.647652506828308,8.081601881063902,3.656632900238037,13.54999989271164,86.45000010728836,37.7,5.236116051673889,10.194106394431886,8.318542689085007,-0.8616986106603566,52.815120697021484,0.24672753175334994,0.0006666183471679688,2.480753488156542e-05,743.2871776091747,0.9974353464750143,0.01699653331275332,0.010637101307935328,nan,1.0
9,3510,3510,388.93,42.95,1162,nan,3.6722630036182893,13.12099358974359,86.87900641025641,36.65264423076923,4.859613999724388,10.02262681722641,8.26140728707497,3.642127752304077,13.619999587535858,86.38000041246414,37.57,4.783548042178154,10.265592294455324,8.836450427770615,-0.49900599779226873,52.5709342956543,0.2673786200858475,0.0008111000061035156,2.1663909748001056e-05,818.2608811598558,0.9973425093369607,0.017481310404313083,0.014431795204744332,nan,1.0
10,3900,3900,431.36,42.39,1178,nan,3.66008789845002,13.259214743589743,86.74078525641026,37.19350961538461,4.904739558696747,10.192424803972244,8.354469472781206,3.625598907470703,13.95999938249588,86.04000061750412,38.3,4.929624497890472,10.44257408516639,9.030374139547348,-0.7007846389061374,52.3598747253418,0.2843268423866576,0.0005326271057128906,1.9195440734151298e-05,877.6281664726062,0.997329193353653,0.017388997939023113,0.0377875023296315,nan,1.0
