epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,45.42,45.42,1099,nan,4.326404615548941,3.2952724358974357,96.70472756410257,14.893830128205128,1.814926415681839,2.6467129588127136,5.110207267869741,4.057417392730713,5.68000003695488,94.31999996304512,22.81,0.5261799786239862,2.5750802601328417,5.436613783240318,-2.384727601057444,34.01845932006836,0.05117224182675942,0.4605112075805664,0.005060676660611969,87.25151048195667,0.9999919209724818,-0.001516369340214587,-0.021353354139314544,nan,1.0
2,780,780,89.48,44.02,1134,nan,3.963956695947892,7.127403846153846,92.87259615384616,26.20392628205128,0.9313909336924553,5.900019407272339,8.026417322838919,4.619792461395264,4.600000008940697,95.3999999910593,18.62,10.163658857345581,2.4306434041222573,14.763657748699188,2.527403837213149,33.26185989379883,0.09790048614638526,0.06849956512451172,0.003578190754231974,170.39628121791742,0.9991455078125,0.0048209066086496635,0.006504750309027575,nan,1.0
3,1170,1170,133.22,43.73,1142,nan,3.753806067735721,10.30048076923077,89.69951923076923,33.73597756410256,1.259901002049446,8.845221996307373,10.519386747708687,4.6001739501953125,7.0100001990795135,92.98999980092049,22.23,13.183610141277313,5.293294089362862,20.193609595298767,3.2904805701512565,35.43173599243164,0.14452742435491128,0.06060028076171875,0.002921462059243137,283.79871818346857,0.9985774069260328,0.01406980680984694,0.013908184731938408,nan,1.0
4,1560,1560,176.84,43.6,1145,nan,3.5042480566562753,14.62540064102564,85.37459935897436,41.49839743589744,1.7061900347471237,12.994353473186493,13.60556981120354,3.5375187397003174,14.37000036239624,85.62999963760376,40.93,2.895522862672806,10.621438202920384,17.258362472057343,0.2554002786294003,38.13874435424805,0.19825739338436382,0.03852367401123047,0.002529987575243132,439.871771474985,0.9978772174089383,0.06286018351810485,0.0014090454221074161,nan,1.0
5,1950,1950,220.48,43.56,1146,nan,3.2885603623512463,18.247195512820515,81.75280448717949,47.83052884615385,2.1660182625055313,16.506007313728333,16.51941336118258,3.3663313388824463,17.020000517368317,82.97999948263168,45.55,3.94400916993618,14.253590818845046,20.630337297916412,1.227194995452198,40.5034065246582,0.2546268823332344,0.07234859466552734,0.002262839185828832,601.7501931214944,0.9975151653473194,0.009430548025973725,-0.006346379996878741,nan,1.0
6,2340,2340,264.57,44.02,1134,nan,3.098395453966581,21.728766025641026,78.27123397435898,52.95272435897436,2.587966062128544,20.072801411151886,19.324517708558304,3.7160909175872803,14.350000023841858,85.64999997615814,39.01,8.892375975847244,12.300873172468782,23.24237823486328,7.378766001799168,42.108116149902344,0.3097883096819202,0.023725032806396484,0.002065642448683767,777.7266991248498,0.9970286746819814,0.06801133501175345,-0.0046066120905183154,nan,1.0
7,2730,2730,308.27,43.68,1143,nan,2.9403371107883944,24.755608974358974,75.24439102564102,57.38581730769231,3.090888261795044,23.062647879123688,21.785918470376576,3.7278823852539062,16.089999675750732,83.91000032424927,40.93,9.54522043466568,15.789828600837112,25.635218620300293,8.665609298608242,43.60697937011719,0.359318600346321,0.03711700439453125,0.0019123838181810409,942.2785625751202,0.9966730964489472,0.0832759611513647,0.0050475865773110095,nan,1.0
8,3120,3120,352.13,43.82,1139,nan,2.8049900757960784,27.642227564102566,72.35777243589743,60.935496794871796,3.665296733379364,26.068919897079468,24.018615216780933,3.6445276737213135,17.59999990463257,82.40000009536743,45.11,13.291306793689728,15.15465845095602,30.891302227973938,10.042227659469997,44.61134719848633,0.4163983164305727,0.021535873413085938,0.001788847373023438,1121.0072577060798,0.996418724151758,0.08577803827650672,-0.016946891667598617,nan,1.0
9,3510,3510,395.5,43.34,1152,nan,2.6834960509569217,30.244391025641026,69.75560897435898,63.85616987179487,4.184426367282867,28.67240607738495,26.091948590981655,3.4881975650787354,18.950000405311584,81.04999959468842,47.4,12.61366754770279,17.06457947755907,31.504356861114502,11.294390620329441,45.304378509521484,0.4626343423609776,0.03210163116455078,0.0016865216128163088,1281.3141520182292,0.9962165427513612,0.08653237445885524,-0.005799953449749142,nan,1.0
10,3900,3900,439.27,43.73,1141,nan,2.5776540970190975,32.858573717948715,67.14142628205128,66.63261217948718,4.9015335738658905,31.429442763328552,28.027373873270474,2.99910831451416,24.9099999666214,75.0900000333786,55.2,3.328743577003479,21.275867857897975,28.025612235069275,7.9485737513273165,46.05699157714844,0.5121340312148677,0.022633075714111328,0.001599958028550951,1446.5808243189103,0.9960479195301349,0.08513603920654204,0.00868077083755949,nan,1.0
