epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,56.68,56.68,881,nan,2.362412738188719,9.819711538461538,90.18028846153847,49.80769230769231,2.067721448838711,9.667263925075531,11.886500336038761,2.304086685180664,10.000000149011612,89.99999985098839,50.0,1.034584641456604,1.8181818181818181,11.034584790468216,-0.1802886105500736,28.4290714263916,0.013563764904042368,0.004177093505859375,0.05060676660611969,4.5797307325451335,1.0229059135299652,0.8057762526340873,0.03428716236980369,nan,1.0
2,780,780,114.44,57.75,864,nan,2.303773224659455,10.124198717948717,89.87580128205128,49.77764423076923,0.6979845464229584,9.889402240514755,10.822616269191107,2.304234266281128,10.000000149011612,89.99999985098839,50.0,0.9195588529109955,1.8181818181818181,10.919559001922607,0.12419856893710524,28.42912483215332,0.0020109820526193426,8.320808410644531e-05,0.03578190754231974,0.1543662596398439,1.0147107781881919,0.9715019252769946,0.010593839994973044,nan,1.0
3,1170,1170,171.86,57.42,869,nan,2.303731908553686,9.75360576923077,90.24639423076923,49.95192307692308,0.9111955761909485,9.467258304357529,10.665120369730852,2.303628921508789,10.000000149011612,89.99999985098839,50.0,0.755445659160614,1.8181818181818181,10.755445808172226,-0.2463943797808419,28.428913116455078,0.001990904026385805,6.341934204101562e-05,0.029214620592431365,0.1523014306735534,1.0117685479630398,0.9716372980644168,0.037942646272744227,nan,1.0
4,1560,1560,228.94,57.06,875,nan,2.303417029747596,10.00400641025641,89.99599358974359,50.03405448717949,0.6299965083599091,9.918132424354553,10.633703007912024,2.3033361434936523,10.000000149011612,89.99999985098839,50.0,0.823868066072464,1.8181818181818181,10.823868215084076,0.004006261244798637,28.42880630493164,0.0020302501032414327,5.5789947509765625e-05,0.025299875752431315,0.15505103403941178,1.009785227081484,0.9720574475117107,-0.0823311710767196,nan,1.0
5,1950,1950,286.3,57.36,870,nan,2.303392302684295,10.110176282051283,89.88982371794872,49.96594551282051,0.5089454352855682,9.6636101603508,10.618337161647968,2.302994966506958,10.000000149011612,89.99999985098839,50.0,0.38085058331489563,1.8181818181818181,10.380850732326508,0.11017613303967089,28.428688049316406,0.002034152068053282,5.14984130859375e-05,0.02262839185828832,0.1550654527086478,1.0083768114550122,0.9724683727434201,-0.049004468204459604,nan,1.0
6,2340,2340,343.44,57.12,874,nan,2.3033866686698716,9.921875,90.078125,49.70152243589744,0.5994141101837158,9.819965064525604,10.521350627144178,2.3031811714172363,10.000000149011612,89.99999985098839,50.0,0.41213259100914,1.8181818181818181,10.412132740020752,-0.07812514901161194,28.428754806518555,0.0019887305144977766,2.1696090698242188e-05,0.02065642448683767,0.15150084268206204,1.0081125461980387,0.9719297326621746,0.028916727173843474,nan,1.0
7,2730,2730,400.44,57.0,876,nan,2.303205128205128,9.765625,90.234375,49.4931891025641,0.735773891210556,9.41888839006424,10.50091133858913,2.302739143371582,10.000000149011612,89.99999985098839,50.0,0.27639269828796387,1.8181818181818181,10.276392847299576,-0.23437514901161194,28.428598403930664,0.0020099158731380655,3.147125244140625e-05,0.019123838181810408,0.15310175674848067,1.0074185333205934,0.9720913911229226,-0.0900876849230287,nan,1.0
8,3120,3120,457.13,56.68,881,nan,2.303106219951923,9.835737179487179,90.16426282051282,49.70753205128205,0.6771646440029144,9.481512755155563,10.513904728950598,2.3028321266174316,10.000000149011612,89.99999985098839,50.0,0.47738775610923767,1.8181818181818181,10.47738790512085,-0.1642629695244331,28.428630828857422,0.0020196584512883237,4.029273986816406e-05,0.01788847373023438,0.1537482775365695,1.0066410332112359,0.9726382318595275,0.029878151465490038,nan,1.0
9,3510,3510,514.16,57.02,875,nan,2.302946276542468,10.080128205128204,89.9198717948718,50.14623397435897,0.44531822204589844,9.103899449110031,10.525668983658155,2.3028035163879395,10.000000149011612,89.99999985098839,50.0,0.3520749509334564,1.8181818181818181,10.352075099945068,0.08012805611659246,28.428621292114258,0.0020323441951553695,3.5762786865234375e-05,0.016865216128163087,0.15450287845272284,1.006058944516453,0.9730246254882783,0.00023992881889480275,nan,1.0
10,3900,3900,571.29,57.11,874,nan,2.3031331380208333,9.879807692307692,90.1201923076923,49.92588141025641,0.5996562540531158,9.451371431350708,10.479722066949575,2.3028578758239746,10.000000149011612,89.99999985098839,50.0,0.31007900834083557,1.8181818181818181,10.310079157352448,-0.12019245670392031,28.428640365600586,0.0019756709834126253,4.172325134277344e-05,0.015999580285509508,0.15031408325601847,1.005843982863357,0.9729358677914328,0.02285101391227154,nan,1.0
11,4290,4290,628.62,57.32,871,nan,2.3033218775040063,9.997996794871796,90.0020032051282,49.4130608974359,0.4666849970817566,9.579845517873764,10.46469028179462,2.302963972091675,10.000000149011612,89.99999985098839,50.0,0.418582558631897,1.8181818181818181,10.418582707643509,-0.002003354139816338,28.42867660522461,0.001997370557338838,2.8848648071289062e-05,0.015254855850866346,0.15188110245343966,1.0057932620294239,0.9726262632451838,0.1284857505156419,nan,1.0
12,4680,4680,686.05,57.43,869,nan,2.303018579727564,9.809695512820513,90.19030448717949,49.83573717948718,0.6094664335250854,9.638731926679611,10.419206932569162,2.3028361797332764,10.000000149011612,89.99999985098839,50.0,0.2936512231826782,1.8181818181818181,10.29365137219429,-0.19030463619109916,28.428632736206055,0.0020088930341127962,2.1457672119140625e-05,0.014605285433382246,0.15271521105598182,1.0055875444435034,0.9727143547476873,-0.06167904253070869,nan,1.0
13,5070,5070,743.51,57.44,869,nan,2.3031725761217947,10.216346153846153,89.78365384615384,50.01201923076923,0.23918896913528442,9.383312612771988,10.454957857728004,2.302713394165039,10.000000149011612,89.99999985098839,50.0,0.1714847981929779,1.8181818181818181,10.17148494720459,0.21634600483454136,28.4285888671875,0.0020112362367015395,2.0503997802734375e-05,0.01403219203554896,0.15282087893440174,1.005057022529814,0.973031975352529,-0.027915139569631105,nan,1.0
14,5460,5460,800.77,57.26,872,nan,2.3030035556891026,9.85576923076923,90.14423076923077,49.889823717948715,0.5586452782154083,9.299416840076447,10.41451956026065,2.3029987812042236,10.000000149011612,89.99999985098839,50.0,0.3865145146846771,1.8181818181818181,10.386514663696289,-0.144230918242382,28.42868995666504,0.0019935609436150716,1.9073486328125e-05,0.013521658378250858,0.15145916978900248,1.0047954244224566,0.9731797877878702,0.06512723775505264,nan,1.0
15,5850,5850,858.04,57.25,872,nan,2.3030364207732372,10.002003205128204,89.9979967948718,50.01201923076923,0.4370346665382385,9.258032590150833,10.439436561786211,2.303006887435913,10.000000149011612,89.99999985098839,50.0,0.3863096237182617,1.8181818181818181,10.386309772729874,0.002003056116592461,28.428693771362305,0.001991247964919247,1.1920928955078125e-05,0.013063072926631404,0.15122091323137282,1.0047043914570533,0.9730846509081639,-0.09430273034081023,nan,1.0
16,6240,6240,915.34,57.29,871,nan,2.3031390850360576,9.645432692307692,90.3545673076923,49.36899038461539,0.7218256592750549,9.214627742767334,10.367171653570272,2.3027734756469727,10.000000149011612,89.99999985098839,50.0,0.35583004355430603,1.8181818181818181,10.355830192565918,-0.3545674567039203,28.42860984802246,0.002028574617934868,1.1444091796875e-05,0.012648184344009425,0.15416892419258754,1.005192944973921,0.9724566339837387,0.0734011944280487,nan,1.0
17,6630,6630,972.53,57.18,873,nan,2.3031296950120193,10.028044871794872,89.97195512820512,49.689503205128204,0.3732122480869293,9.111056476831436,10.401353375651897,2.302703619003296,10.000000149011612,89.99999985098839,50.0,0.2631336450576782,1.8181818181818181,10.26313379406929,0.028044722783260312,28.428585052490234,0.002062267788905439,2.002716064453125e-05,0.012270466792329977,0.15664056283541214,1.0047256632992008,0.9728922680858166,0.036985087802537696,nan,1.0
18,7020,7020,1029.16,56.62,882,nan,2.303007311698718,9.955929487179487,90.04407051282051,50.01602564102564,0.4186876118183136,9.639530628919601,10.374854233784554,2.3028061389923096,10.000000149011612,89.99999985098839,50.0,0.46278461813926697,1.8181818181818181,10.462784767150879,-0.04407066183212471,28.428621292114258,0.0019845803092939174,1.239776611328125e-05,0.01192468210577587,0.15068800866794893,1.0044534650733228,0.9729346207935871,0.00524781863417401,nan,1.0
19,7410,7410,1086.03,56.85,878,nan,2.302940642528045,9.899839743589743,90.10016025641026,49.82972756410256,0.4873611032962799,9.67448353767395,10.38741929981953,2.302849531173706,10.000000149011612,89.99999985098839,50.0,0.4187487065792084,1.8181818181818181,10.41874885559082,-0.10016040542186921,28.42863655090332,0.002011820491988112,2.1219253540039062e-05,0.011606570512717958,0.1527214205608918,1.0041493360679228,0.9733701932365921,0.03469809994476725,nan,1.0
