epoch,global_step,grad_evals,time_s,epoch_s,img_per_s,lr,train_loss,train_acc,train_err,train_top5,train_ece,train_macro_f1,train_conf,eval_loss,eval_acc,eval_err,eval_top5,eval_ece,eval_macro_f1,eval_conf,gen_gap,theta_norm,grad_norm,update_norm,gamma,fw_gap,gap_rel,cos_ts,cos_prev,cos_adam,in_C
1,390,390,49.58,49.58,1007,nan,3.162830190780835,23.962339743589745,76.03766025641025,78.87820512820512,2.8634799644351006,23.25667440891266,26.825806301755783,1.6419568061828613,36.12000048160553,63.87999951839447,90.0,4.547974839806557,33.286906326249095,33.726486563682556,-12.157660738015785,31.91257667541504,0.08032872008600254,56.105872631073,0.002564102564102564,96.88431397982133,0.999996352654237,0.0028620576376762446,-0.00807718583131417,nan,1.0
2,780,780,97.3,47.69,1047,nan,1.5387212875561835,40.90144230769231,59.09855769230769,91.28405448717949,2.4786440655589104,39.77384567260742,38.43500313850549,1.4466830492019653,44.89000141620636,55.10999858379364,93.79,3.9384350180625916,44.119657715279374,41.96904897689819,-3.9885591085140533,28.70362663269043,0.1412759969452439,0.04146575927734375,0.001282051282051282,229.76337403517502,0.998997201369359,0.010225534102883668,0.037731204550303266,nan,1.0
3,1170,1170,145.13,47.82,1044,nan,1.2851328776432918,52.62019230769231,47.37980769230769,94.51121794871794,3.09884175658226,52.057015895843506,49.52392886082331,1.1841806173324585,56.610000133514404,43.389999866485596,95.88,1.3246775604784489,54.868815574778374,56.26986622810364,-3.9898078258220977,28.025943756103516,0.24169574426565715,0.01669931411743164,0.0008547008547008547,475.04075677333736,0.9987634752041255,0.011064051084774651,0.008334583572581508,nan,1.0
4,1560,1560,193.29,48.14,1037,nan,1.0806952180006566,61.15384615384615,38.84615384615385,96.22796474358974,2.8974080458283424,60.842448472976685,58.25643542485359,1.0509473085403442,63.15000057220459,36.84999942779541,96.08,1.8863996490836143,62.20908844485577,62.30827569961548,-1.9961544183584365,27.705615997314453,0.34504199273388636,0.013870477676391602,0.000641025641025641,772.2400700495793,0.9986770599316328,0.011098667728354153,0.001152568116091259,nan,1.0
5,1950,1950,241.15,47.84,1043,nan,0.9317771417972369,66.7568108974359,33.2431891025641,97.15344551282051,2.792486920952797,66.58284068107605,63.97961301681323,1.0009249448776245,64.34999704360962,35.65000295639038,97.29,2.604345418512821,64.51920981054566,66.61275625228882,2.4068138538262787,27.63182830810547,0.4277632905031701,0.007972002029418945,0.0005128205128205128,1021.5747215857873,0.9985960942048293,0.011571368398728235,0.002473396539937632,nan,1.0
6,2340,2340,289.06,47.9,1042,nan,0.8176675145442669,71.17588141025641,28.82411858974359,97.8545673076923,2.905505709350109,71.08325362205505,68.2703156196154,0.7846912741661072,73.00999760627747,26.990002393722534,98.09,1.8442243337631226,72.49154936732013,72.91130423545837,-1.834116196021057,27.65555191040039,0.5149096904153015,0.007066488265991211,0.00042735042735042735,1290.9243384728065,0.998531516851523,0.011612824125162692,-0.01585909523310693,nan,1.0
7,2730,2730,336.97,47.88,1043,nan,0.7330696726456667,74.81570512820512,25.184294871794876,98.23116987179488,2.804599329829216,74.77295994758606,72.0165248406239,0.7623416185379028,73.6299991607666,26.3700008392334,98.65,1.3174834661185741,73.71898438987215,74.8326301574707,1.1857059674385226,27.617202758789062,0.5964736260395099,0.00396275520324707,0.0003663003663003663,1559.5855143229167,0.9985265629413801,0.011579523120730588,-0.03317226979980011,nan,1.0
8,3120,3120,384.99,47.99,1040,nan,0.6637808964802668,77.36378205128206,22.636217948717942,98.52363782051282,2.6408743113279343,77.33814120292664,74.72285140783359,0.6591885089874268,77.48000025749207,22.519999742507935,98.72,1.424604281783104,77.08473923152282,77.8605580329895,-0.11621820621000722,27.6335506439209,0.675442338372325,0.007303953170776367,0.0003205128205128205,1809.3808709560296,0.9984838421528156,0.0117379562190524,0.000687924603420099,nan,1.0
9,3510,3510,433.01,47.98,1040,nan,0.6068135826251446,79.39503205128206,20.604967948717942,98.80809294871794,2.5592509657144547,79.36224937438965,76.83710481875983,0.6879314184188843,76.5999972820282,23.4000027179718,98.39,4.0587447583675385,75.80928716423836,80.38668036460876,2.79503476925386,27.674541473388672,0.7408513706887178,0.005914211273193359,0.0002849002849002849,2015.8284592848559,0.9984514908912855,0.011870672856017193,-0.005610118563245971,nan,1.0
10,3900,3900,480.86,47.84,1044,nan,0.5618922182382682,80.9775641025641,19.022435897435898,98.91426282051282,2.298087999224663,80.95890283584595,78.6829663392825,0.6205859184265137,78.79999876022339,21.20000123977661,98.5,2.0887210965156555,78.6809247885908,80.88724613189697,2.1775653423407135,27.67567253112793,0.8095463754290342,0.0053975582122802734,0.0002564102564102564,2240.6645629882814,0.9984554576568114,0.011774645303139413,0.004509749586794121,nan,1.0
